date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2020-12-31 | 999
2020-12-31 | 1000
2020-12-31 | 1000.5
2020-12-31 | 2147483648
2020-12-31 | 0
2020-12-31 | 0.5
2022-03-29 | 10
2025-01-01 | 5
2009-01-02 | 1
2008-12-31 | 1
2009-01-03 | 1
2009-01-04 | 1
2009-01-05 | 1
2012-02-29 | 1
2013-02-29 | 1
2020-02-29 | 1
2021-02-29 | 1
2020-04-31 | 1
2020-13-01 | 1
2020-00-15 | 1
2020-01-00 | 1
2020-01-32 | 1
1969-12-31 | 1
2101-01-01 | 1
2020-1-1 | 1
2020/01/01 | 1
2020-01-01
2020-01-01 |
2020-01-01 | abc
2020-01-01 | 3.5abc
2020-01-01 | 1e3
2020-01-01 | nan
2020-01-01 | inf
2020-01-01 |    42
20a0-01-01 | 1
2020-0a-01 | 1
2020-01-0a | 1
   2015-06-15   |   100
